mode,orifice,Pressure,rpm,suction
3,13,2149.7,1320,100.36
1,30,1604.8,620,0.54
1,23,1561.3,615,1.49
1,19,1492.6,620,2.8
1,16,1401.6,625,4.65
1,13,1228.6,640,7.77
1,10,957.6,670,10.52
2,30,2433.6,790,1.52
2,23,2370.8,795,4.09
2,19,2260.7,800,7.79
2,16,2112.4,810,12.61
2,13,1823.9,835,20.61
2,10,1397.9,885,26.59
3,30,4629.7,1240,7.9
3,23,4465.9,1245,21.17
3,19,4230.2,1260,38.57
3,16,3889.8,1285,60.79
1,30,1982.0,625,0.46
1,23,1930.4,620,1.25
1,19,1866.7,625,2.35
1,16,1774.7,635,3.95
1,13,1569.4,645,6.83
1,10,1255.9,680,9.68
2,30,3081.6,805,1.3
2,23,3011.5,810,3.55
2,19,2882.3,810,6.65
2,16,2720.3,825,10.96
2,13,2369.0,845,18.27
2,10,1840.2,895,24.6
3,30,6055.0,1255,6.38
3,23,5866.6,1260,17.83
3,19,5587.2,1275,32.96
3,16,5189.4,1295,53.69
1,30,2384.5,635,0.31
1,23,2325.8,635,0.96
1,19,2247.0,635,1.86
1,16,2138.8,635,3.16
1,13,1920.3,650,5.73
1,10,1548.2,685,8.46
2,30,3741.5,815,0.89
2,23,3668.6,815,2.72
2,19,3542.1,820,5.26
2,16,3366.5,830,9.09
2,13,2989.7,855,15.65
2,10,2349.0,900,21.88
3,30,7691.3,1270,5.47
3,23,7490.2,1280,14.79
3,19,7196.2,1290,28.03
3,16,6737.5,1310,46.22
1,30,3694.0,675,0.19
1,23,3621.2,675,0.53
1,19,3543.4,675,1.02
1,16,3424.0,675,1.78
1,13,3183.4,685,3.42
1,10,2673.7,710,5.5
2,30,5957.6,865,0.46
2,23,5881.1,865,1.41
2,19,5748.2,870,2.87
2,16,5553.5,875,5.01
2,13,5095.7,895,9.44
2,10,4227.5,925,14.78
