set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,2,3542.141581,821.5,19,5.26,5,3,,0.720985744,3542.141581,3.549265916,10.45059691,821.5
,2,3366.490676,831.5,16,9.09,5,3,,0.958563883,3366.490676,3.527177416,9.779412325,831.5
,2,2989.705831,854,13,15.65,5,3,,1.194514342,2989.705831,3.475628458,8.914810981,854
,2,2348.989574,900,10,21.88,5,3,,1.340047318,2348.989574,3.370881089,7.761740546,900
,3,7691.325412,1270.5,30,5.47,5,3,,0.737987326,7691.325412,3.886001186,13.21705706,1270.5
,3,7490.191474,1278.5,23,14.79,5,3,,1.169968174,7490.191474,3.87449292,12.14845014,1278.5
,3,7196.226486,1291,19,28.03,5,3,,1.447623098,7196.226486,3.857104823,11.35700979,1291
,3,6737.531893,1310,16,46.22,5,3,,1.664829941,6737.531893,3.828500834,10.61485824,1310
,3,0,0,13,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,10,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
17,1,3694.028548,676,30,0.19,5,3,,-0.721246399,3694.028548,3.567500247,12.1337725,676
,1,3621.219882,674,23,0.53,5,3,,-0.27572413,3621.219882,3.558854896,11.15876894,674
,1,3543.355059,674.5,19,1.02,5,3,,0.008600172,3543.355059,3.549414673,10.45103492,674.5
,1,3424.029746,676.5,16,1.78,5,3,,0.250420002,3424.029746,3.534537529,9.799818891,676.5
,1,3183.356657,687,13,3.42,5,3,,0.534026106,3183.356657,3.502885299,8.984723397,687
,1,2673.695998,706.5,10,5.5,5,3,,0.740362689,2673.695998,3.427112026,7.891217063,706.5
,2,5957.569063,863.5,30,0.46,5,3,,-0.337242168,5957.569063,3.775069086,12.83975509,863.5
,2,5881.119964,866,23,1.41,5,3,,0.149219113,5881.119964,3.769460038,11.81912015,866
,2,5748.244149,869.5,19,2.87,5,3,,0.457881897,5748.244149,3.759535206,11.069722,869.5
,2,5553.480969,878,16,5.01,5,3,,0.699837726,5553.480969,3.744565288,10.38213949,878
,2,5095.696484,894.5,13,9.44,5,3,,0.974971994,5095.696484,3.707203552,9.508789369,894.5
,2,4227.453146,928.5,10,14.78,5,3,,1.169674434,4227.453146,3.626078803,8.349354998,928.5
,3,0,0,30,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,23,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,19,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,16,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,13,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,3,0,0,10,0,5,3,,#NUM!,0,#NUM!,#NUM!,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,`,,
