set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,1,172.9205808,593,23,2.9,1,1,,0.462397998,172.9205808,2.237846686,7.016755339,593
,1,163.8194976,596,19,5.13,1,1,,0.710117365,163.8194976,2.21436559,6.520064356,596
,1,145.6173312,601,16,7.89,1,1,,0.897077003,145.6173312,2.163213067,5.997700154,601
,1,126.4039333,617.5,13,11.69,1,1,,1.067814511,126.4039333,2.101760588,5.39090947,617.5
,1,91.010832,654,10,13.98,1,1,,1.145507171,91.010832,1.959093085,4.510978532,654
,2,267.5718461,767.5,30,2.62,1,1,,0.418301291,267.5718461,2.427440415,8.256203984,767.5
,2,255.7404379,771,23,7.37,1,1,,0.867467488,255.7404379,2.407799404,7.549641106,771
,2,244.8191381,776,19,13.32,1,1,,1.124504225,244.8191381,2.388845365,7.033809407,776
,2,218.4259968,787,16,20.24,1,1,,1.306210508,218.4259968,2.339304326,6.485928793,787
,2,182.021664,812,13,29.01,1,1,,1.462547729,182.021664,2.26012308,5.797101243,812
,2,136.516248,866,10,33.47,1,1,,1.524655712,136.516248,2.135184344,4.916443641,866
,3,528.7729339,1212,30,12.04,1,1,,1.080626487,528.7729339,2.723269217,9.26237613,1212
,3,508.7505509,1218,23,31.59,1,1,,1.499549626,508.7505509,2.706504893,8.486230436,1218
,3,475.9866514,1228,19,56.63,1,1,,1.753046562,475.9866514,2.677594774,7.884014422,1228
,3,433.2115603,1249.5,16,84.67,1,1,,1.92772956,433.2115603,2.636700037,7.310484787,1249.5
,3,356.7624614,1298,13,116.68,1,1,,2.06699642,356.7624614,2.552379152,6.546723265,1298
,3,0,0,10,0,1,1,,#NUM!,0,#NUM!,#NUM!,0
5,1,209.3249136,588,30,0.98,1,1,,-0.008773924,209.3249136,2.320820921,7.893570039,588
,1,191.1227472,589.5,23,2.9,1,1,,0.462397998,191.1227472,2.281312379,7.15304177,589.5
,1,182.021664,593.5,19,5.04,1,1,,0.702430536,182.021664,2.26012308,6.654794495,593.5
,1,164.8307291,600,16,7.9,1,1,,0.897627091,164.8307291,2.21703818,6.146935054,600
,1,139.5499424,618.5,13,11.77,1,1,,1.070776463,139.5499424,2.144729662,5.501122967,618.5
,1,109.2129984,653.5,10,13.88,1,1,,1.142389466,109.2129984,2.038274331,4.693300089,653.5
,2,300.3357456,767.5,30,2.64,1,1,,0.421603927,300.3357456,2.477607024,8.426830524,767.5
,2,291.2346624,771.5,23,7.24,1,1,,0.859738566,291.2346624,2.464243063,7.72661987,771.5
,2,273.032496,776.5,19,13.08,1,1,,1.116607744,273.032496,2.436214339,7.173284462,776.5
,2,245.7292464,789,16,20.15,1,1,,1.30427505,245.7292464,2.390456849,6.6277537,789
,2,208.4148053,813.5,13,28.85,1,1,,1.460145817,208.4148053,2.318928567,5.947934338,813.5
,2,154.7184144,868.5,10,33.51,1,1,,1.525174428,154.7184144,2.189542006,5.041606783,868.5
,3,591.570408,1213,30,12.06,1,1,,1.081347308,591.570408,2.772006441,9.42814105,1213
,3,565.1772667,1218.5,23,31.63,1,1,,1.500099192,565.1772667,2.752184685,8.62945916,1218.5
,3,532.4133672,1230,19,56.49,1,1,,1.751971575,532.4133672,2.726248951,8.027273677,1230
,3,480.537193,1251,16,84.4,1,1,,1.926342447,480.537193,2.681727007,7.435326056,1251
,3,401.3577691,1299,13,116.35,1,1,,2.065766388,401.3577691,2.603531674,6.677926894,1299
,3,0,0,10,0,1,1,,#NUM!,0,#NUM!,#NUM!,0
6,1,238.6506261,590.5,30,1.08,2,1,,0.033423755,238.6506261,2.377762578,8.087239855,590.5
,1,227.52708,588,23,2.8,2,1,,0.447158031,227.52708,2.357033093,7.390463631,588
