set,mode,pressure,rpm,orifice,suction,level5,level3,,,,,
,2,291.2346624,771.5,23,7.24,1,1,,0.859738566,,2.477607024,7.768522495
,2,273.032496,776.5,19,13.08,1,1,,1.116607744,,2.464243063,7.255813329
,2,245.7292464,789,16,20.15,1,1,,1.30427505,,2.436214339,6.754620402
,2,208.4148053,813.5,13,28.85,1,1,,1.460145817,,2.390456849,6.131400758
,2,154.7184144,868.5,10,33.51,1,1,,1.525174428,,2.318928567,5.33953035
,3,591.570408,1213,30,12.06,1,1,,1.081347308,,2.189542006,7.447064538
,3,565.1772667,1218.5,23,31.63,1,1,,1.500099192,,2.772006441,8.691610163
,3,532.4133672,1230,19,56.49,1,1,,1.751971575,,2.752184685,8.103639864
,3,480.537193,1251,16,84.4,1,1,,1.926342447,,2.726248951,7.558767095
,3,401.3577691,1299,13,116.35,1,1,,2.065766388,,2.681727007,6.878493964
6,1,238.6506261,590.5,30,1.08,2,1,,0.033423755,,2.603531674,8.855125113
,1,227.52708,588,23,2.8,2,1,,0.447158031,,2.377762578,7.45546081
,1,218.4259968,591.5,19,4.86,2,1,,0.686636269,,2.357033093,6.940140115
,1,200.2238304,597.5,16,7.56,2,1,,0.878521796,,2.339304326,6.485928793
,1,166.853192,613.5,13,11.25,2,1,,1.051152522,,2.301515765,5.903271384
,1,127.4151648,649.5,10,13.43,2,1,,1.128076013,,2.222334519,5.117114336
,2,364.043328,766,30,2.64,2,1,,0.421603927,,2.10522112,7.160272562
,2,354.0321365,768,23,7.1,2,1,,0.851258349,,2.561153076,8.030480656
,2,336.7400784,774.5,19,12.82,2,1,,1.107888025,,2.549042686,7.505500644
,2,296.6953123,785,16,19.43,2,1,,1.288472801,,2.527294809,7.007149084
,2,245.7292464,809,13,27.93,2,1,,1.446070936,,2.472310685,6.341351702
,2,182.021664,863,10,32.53,2,1,,1.512284063,,2.390456849,5.504230305
,3,701.7946379,1211,30,11.82,2,1,,1.072617477,,2.26012308,7.687124703
,3,674.4913883,1217,23,30.94,2,1,,1.490520309,,2.846210046,8.924275135
,3,633.0308981,1228,19,55.22,2,1,,1.742096402,,2.828976409,8.32974841
,3,572.3570101,1249,16,83.21,2,1,,1.920175522,,2.801424908,7.767199107
,3,479.3237152,1298,13,115.01,2,1,,2.060735603,,2.757667006,7.073276216
7,1,272.0212645,593.5,30,1.08,2,1,,0.033423755,,2.680628917,9.117348053
,1,254.8303296,593.5,23,2.81,2,1,,0.44870632,,2.434602855,7.63368317
,1,243.7067835,595,19,4.88,2,1,,0.688419822,,2.406251116,7.085059579
,1,218.4259968,601,16,7.59,2,1,,0.880241776,,2.386867618,6.617802239
,1,189.1002843,619,13,11.37,2,1,,1.055760465,,2.339304326,6.000197129
,1,137.5274795,655,10,13.65,2,1,,1.135132651,,2.276692182,5.242277479
,2,401.3577691,767.5,30,2.64,2,1,,0.421603927,,2.138389484,7.273084713
,2,382.2454944,770.5,23,7,2,1,,0.84509804,,2.603531674,8.163358505
,2,364.043328,777.5,19,12.75,2,1,,1.105510185,,2.582342375,7.603549547
,2,327.6389952,789,16,19.41,2,1,,1.288025535,,2.561153076,7.101024134
,2,273.032496,813.5,13,28.06,2,1,,1.448087667,,2.515395585,6.45186229
,2,208.4148053,867,10,32.68,2,1,,1.514282048,,2.436214339,5.609590821
