set,mode,pressure,rpm,orifice,suction,level5,level3,,,,
,3,653.4577738,1253,16,82.68,2,1,,,,
,3,543.334667,1301.5,13,114.47,2,1,,,,
,3,0,0,10,0,2,1,,,,
8,1,337.7513099,602,30,1.09,2,1,,,,
,1,327.6389952,600,23,2.82,2,1,,,,
,1,308.4255973,601,19,4.98,2,1,,,,
,1,282.1335792,608.5,16,7.78,2,1,,,,
,1,236.6281632,625.5,13,11.54,2,1,,,,
,1,181.0104325,661,10,13.85,2,1,,,,
,2,506.9303342,773,30,2.65,2,1,,,,
,2,483.2675179,775,23,6.88,2,1,,,,
,2,455.05416,782,19,12.52,2,1,,,,
,2,418.6498272,794,16,19.33,2,1,,,,
,2,347.6613782,819,13,28.11,2,1,,,,
,2,259.3808712,873,10,32.88,2,1,,,,
,3,973.8159024,1216.5,30,11.67,2,1,,,,
,3,935.591353,1222.5,23,30.49,2,1,,,,
,3,880.9848538,1234.5,19,54.54,2,1,,,,
,3,796.34478,1255.5,16,81.72,2,1,,,,
,3,664.3790736,1304.5,13,113.89,2,1,,,,
,3,0,0,10,0,2,1,,,,
9,1,400.4476608,579,30,0.88,2,1,,,,
,1,382.2454944,582,23,2.32,2,1,,,,
,1,364.043328,587,19,4.4,2,1,,,,
,1,336.7400784,595,16,6.97,2,1,,,,
,1,282.1335792,610,13,10.45,2,1,,,,
,1,218.4259968,648,10,12.78,2,1,,,,
,2,600.6714912,766.5,30,2.36,2,1,,,,
,2,582.4693248,769.5,23,6.44,2,1,,,,
,2,546.064992,776.5,19,11.82,2,1,,,,
,2,499.6494677,786.5,16,18.18,2,1,,,,
,2,418.6498272,812.5,13,26.85,2,1,,,,
,2,311.2570454,866.5,10,31.86,2,1,,,,
,3,1133.084858,1214.5,30,11.15,2,1,,,,
,3,1090.309767,1221,23,29.64,2,1,,,,
,3,1023.87186,1232.5,19,53.17,2,1,,,,
,3,928.3104864,1253.5,16,80.26,2,1,,,,
,3,777.2325053,1301.5,13,112.07,2,1,,,,
,3,0,0,10,0,2,1,,,,
10,1,473.2563264,589.5,30,0.79,3,2,,,,
,1,455.05416,588.5,23,2.33,3,2,,,,
,1,427.7509104,593,19,4.33,3,2,,,,
,1,395.3915035,600,16,6.75,3,2,,,,
,1,336.7400784,617,13,10.41,3,2,,,,
,1,254.8303296,652,10,12.93,3,2,,,,
,2,709.8844896,768,30,2.5,3,2,,,,
,2,682.58124,772,23,6.46,3,2,,,,
,2,642.5364739,778,19,11.73,3,2,,,,
,2,588.840083,789.5,16,18.12,3,2,,,,
,2,491.4584928,814.5,13,26.74,3,2,,,,
,2,370.4140862,868.5,10,31.68,3,2,,,,
,3,1330.578364,1216,30,10.96,3,2,,,,
,3,1276.881973,1222,23,29.3,3,2,,,,
,3,1200.432874,1233.5,19,52.14,3,2,,,,
,3,1088.489551,1255.5,16,79.06,3,2,,,,
,3,911.0184283,1303,13,110.75,3,2,,,,
,3,0,0,10,0,3,2,,,,
11,1,622.9185835,596,30,0.89,3,2,,,,
,1,600.6714912,595.5,23,2.33,3,2,,,,
,1,569.3233157,598.5,19,4.16,3,2,,,,
,1,525.8403627,604,16,6.51,3,2,,,,
,1,445.9530768,621,13,10.14,3,2,,,,
,1,337.7513099,656.5,10,12.72,3,2,,,,
,2,928.3104864,772,30,2.51,3,2,,,,
,2,891.9061536,776,23,6.21,3,2,,,,
,2,846.4007376,782.5,19,11.38,3,2,,,,
,2,773.592072,794,16,17.36,3,2,,,,
,2,651.6375571,817.5,13,26,3,2,,,,
,2,488.7281678,871,10,31.2,3,2,,,,
,3,1713.733967,1218,30,10.75,3,2,,,,
,3,1650.936492,1225,23,28.26,3,2,,,,
,3,1549.914469,1236.5,19,50.39,3,2,,,,
,3,1409.757788,1258,16,76.6,3,2,,,,
,3,1181.320599,1306.5,13,108.56,3,2,,,,
,3,0,0,10,0,3,2,,,,
12,1,819.097488,604,30,0.8,4,2,,,,
,1,789.7717755,603.5,23,2.16,4,2,,,,
,1,749.3225168,607,19,4,4,2,,,,
,1,691.6823232,613,16,6.37,4,2,,,,
,1,591.570408,630.5,13,10.03,4,2,,,,
,1,455.05416,666.5,10,12.7,4,2,,,,
